class,mean_Ess,lower_ci_Ess,upper_ci_Ess,mean_NonEss,lower_ci_NonEss,upper_ci_NonEss,pvalue,buff,spa
Hphil,0.3068290586245772,0.2959413754227734,0.3179326381059751,0.2813798059318931,0.2752185554741853,0.2873054741852801,0.0,CG,50
Arom,0.1479043122886133,0.1400753945885005,0.1562852311161217,0.1751363053826437,0.1701288447455144,0.1799272244599047,0.0,CG,50
pureHphob,0.4538393461104847,0.4427811443066516,0.4656214768883878,0.4952526089344563,0.4881453679970706,0.5020619736360308,0.0,CG,50
pureHphil,0.1259805524239008,0.1182285794813979,0.1331771420518602,0.109575659099231,0.1056847308678139,0.1138330739655803,0.0001,CG,50
pureArom,0.0180080326944757,0.0149379932356257,0.0209977452085682,0.0375956609300622,0.0352435005492493,0.040004805931893,0.0,CG,50
SHphob,0.4199258737316798,0.4082581736189402,0.431369785794814,0.4272459808567977,0.4205917201003624,0.4338351454325806,0.285,CG,60
WHphob,0.2313659808342728,0.2213888105975197,0.2409808342728297,0.2557406839513056,0.2498350525044141,0.26173334262615,0.0,CG,60
Hphil,0.3068551296505073,0.2962197012401353,0.3170835682074408,0.2816853452281386,0.2758561007341325,0.2877520676517052,0.0002,CG,60
Arom,0.1480873731679819,0.1406390924464487,0.1564261555806088,0.1752982994145525,0.1704302574110212,0.1803735712294396,0.0,CG,60
pureHphob,0.4541679819616684,0.4430594701240135,0.4657588782412626,0.4931152773905771,0.4864754669640367,0.4995365207694452,0.0,CG,60
pureHphil,0.1260443912063134,0.1183765501691093,0.1337408399098083,0.1092105287612675,0.1048694359260291,0.1133758479695195,0.0004,CG,60
pureArom,0.0180504509582863,0.0150789177001127,0.0212795941375422,0.037927051389276,0.0354973980113372,0.0404237524393643,0.0,CG,60
SHphob,0.4209533922462942,0.4103442132269099,0.4317310433295325,0.424991907965292,0.4187347665009262,0.4315138442039583,0.5587,CG,70
WHphob,0.2316784492588369,0.221921322690992,0.2415942132269099,0.2557982353514673,0.2499256605245198,0.2618735985180851,0.0001,CG,70
Hphil,0.3061948403648803,0.2956100342075256,0.3175634264538198,0.2832284293653114,0.2770278833967047,0.2891708101784147,0.0002,CG,70
Arom,0.1485421892816419,0.1403898232611174,0.1569270239452679,0.17489490104319,0.1695914984888369,0.1800233986545773,0.0,CG,70
pureHphob,0.4556878563283922,0.4442702394526795,0.4673674458380843,0.4904215657599687,0.4838159305839914,0.4973189041630106,0.0,CG,70
pureHphil,0.125966220068415,0.1180159635119726,0.1336944127708095,0.1106437554840596,0.1065126255240323,0.1148971434142536,0.0009,CG,70
pureArom,0.0182480045610034,0.0151083238312428,0.0213797035347776,0.0380860388027688,0.0353417178512235,0.0406551623281661,0.0,CG,70
