E4P1_N_ml,E4P1_N_mAU
0.4593,14.09894
0.459798,14.09735
0.460296,14.098485
0.460793,14.099367
0.461291,14.098905
0.461789,14.098757
0.462286,14.097903
0.462784,14.0972
0.463282,14.0964
0.46378,14.096507
0.464277,14.096203
0.464775,14.096392
0.465273,14.094902
0.46577,14.093349
0.466268,14.093174
0.466766,14.094554
0.467264,14.094992
0.467761,14.093801
0.468259,14.093108
0.468757,14.093251
0.469254,14.091631
0.469752,14.09005
0.47025,14.090582
0.470747,14.091706
0.471245,14.091676
0.471743,14.091008
0.472241,14.090529
0.472738,14.091107
0.473236,14.090196
0.473734,14.089404
0.474231,14.088672
0.474729,14.089495
0.475227,14.089903
0.475725,14.089595
0.476222,14.08951
0.47672,14.090569
0.477218,14.090602
0.477715,14.091335
0.478213,14.091484
0.478711,14.091184
0.479208,14.090816
0.479706,14.090682
0.480204,14.092553
0.480702,14.093549
0.481199,14.092529
0.481697,14.092923
0.482195,14.093905
0.482692,14.093155
0.48319,14.091375
0.483688,14.09054
0.484186,14.09129
0.484683,14.093054
0.485181,14.093762
0.485679,14.093561
0.486176,14.094117
0.486674,14.095222
0.487172,14.095457
0.487669,14.09603
0.488167,14.097477
0.488665,14.098039
0.489163,14.097027
0.48966,14.095721
0.490158,14.095036
0.490656,14.094933
0.491153,14.094548
0.491651,14.094045
0.492149,14.093525
0.492647,14.092799
0.493144,14.092298
0.493642,14.093616
0.49414,14.095536
0.494637,14.096435
0.495135,14.095852
0.495633,14.096906
0.49613,14.098018
0.496628,14.09967
0.497126,14.099154
0.497624,14.096598
0.498121,14.095708
0.498619,14.096692
0.499117,14.096678
0.499614,14.096332
0.500112,14.096399
0.50061,14.096239
0.501108,14.093843
0.501605,14.09296
0.502103,14.091456
0.502601,14.092948
0.503098,14.09344
0.503596,14.094831
0.504094,14.094844
0.504591,14.095727
0.505089,14.097369
0.505587,14.097712
0.506085,14.096503
0.506582,14.095389
0.50708,14.094471
0.507578,14.093237
0.508075,14.093343
0.508573,14.094376
0.509071,14.092596
0.509569,14.093437
0.510066,14.093478
0.510564,14.092599
0.511062,14.091931
0.511559,14.092135
0.512057,14.09189
0.512555,14.092128
0.513052,14.09138
0.51355,14.092624
0.514048,14.093335
0.514546,14.094909
0.515043,14.095526
0.515541,14.095939
0.516039,14.095441
0.516536,14.096079
0.517034,14.09646
0.517532,14.095509
0.51803,14.094693
0.518527,14.097136
0.519025,14.095348
0.519523,14.095988
0.52002,14.097655
0.520518,14.09737
0.521016,14.096192
0.521513,14.097131
0.522011,14.096858
0.522509,14.097389
0.523007,14.098147
0.523504,14.099235
0.524002,14.099215
0.5245,14.099265
0.524997,14.09876
0.525495,14.099249
0.525993,14.098407
0.526491,14.099065
0.526988,14.098361
0.527486,14.098333
0.527984,14.098078
0.528481,14.098699
0.528979,14.0976
0.529477,14.095427
0.529975,14.09431
0.530472,14.095524
0.53097,14.093984
0.531468,14.095393
0.531965,14.09468
0.532463,14.094892
0.532961,14.095577
0.533458,14.096362
0.533956,14.095882
0.534454,14.095804
0.534952,14.094311
0.535449,14.094459
0.535947,14.093415
0.536445,14.094404
0.536942,14.094355
0.53744,14.093922
0.537938,14.093857
0.538436,14.095422
0.538933,14.092835
0.539431,14.094598
0.539929,14.092726
0.540426,14.09139
0.540924,14.090433
0.541422,14.091317
0.541919,14.091062
0.542417,14.092974
0.542915,14.092813
0.543413,14.093645
0.54391,14.095603
0.544408,14.0959
0.544906,14.0953
0.545403,14.095677
0.545901,14.095072
0.546399,14.094529
0.546897,14.09425
0.547394,14.094473
0.547892,14.095291
0.54839,14.096476
0.548887,14.097254
0.549385,14.096163
0.549883,14.097075
0.55038,14.097158
0.550878,14.097457
0.551376,14.096675
0.551874,14.099483
0.552371,14.10007
0.552869,14.100615
0.553367,14.102657
0.553864,14.10288
0.554362,14.10232
0.55486,14.102496
0.555358,14.101298
0.555855,14.101835
0.556353,14.101102
0.556851,14.099642
0.557348,14.099851
0.557846,14.100201
0.558344,14.100426
0.558841,14.101467
0.559339,14.102137
0.559837,14.102142
0.560335,14.10248
0.560832,14.102107
0.56133,14.101614
0.561828,14.102135
0.562325,14.101789
0.562823,14.101704
0.563321,14.101245
0.563819,14.101029
0.564316,14.099689
0.564814,14.100245
0.565312,14.100432
0.565809,14.098878
0.566307,14.098766
0.566805,14.099502
0.567302,14.100393
0.5678,14.100801
0.568298,14.098228
0.568796,14.096875
0.569293,14.096646
0.569791,14.096091
0.570289,14.094509
0.570786,14.093403
0.571284,14.093161
0.571782,14.092816
0.57228,14.09224
0.572777,14.091474
0.573275,14.090263
0.573773,14.08941
0.57427,14.088866
0.574768,14.088725
0.575266,14.088463
0.575763,14.088891
0.576261,14.088703
0.576759,14.087958
0.577257,14.087018
0.577754,14.086962
0.578252,14.088185
0.57875,14.089265
0.579247,14.090513
0.579745,14.090645
0.580243,14.090346
0.580741,14.090744
0.581238,14.091825
0.581736,14.093351
0.582234,14.093774
0.582731,14.095246
0.583229,14.096199
0.583727,14.09586
0.584224,14.096467
0.584722,14.096718
0.58522,14.096402
0.585718,14.096418
0.586215,14.097576
0.586713,14.09807
0.587211,14.097763
0.587708,14.097548
0.588206,14.097205
0.588704,14.097469
0.589202,14.097241
0.589699,14.097293
0.590197,14.097626
0.590695,14.096309
0.591192,14.095479
0.59169,14.094813
0.592188,14.093758
0.592685,14.093229
0.593183,14.093758
0.593681,14.092542
0.594179,14.090935
0.594676,14.091647
0.595174,14.090816
0.595672,14.089229
0.596169,14.089148
0.596667,14.089621
0.597165,14.089469
0.597663,14.089986
0.59816,14.090874
0.598658,14.090287
0.599156,14.089803
0.599653,14.090368
0.600151,14.08959
0.600649,14.090076
0.601146,14.090671
0.601644,14.091187
0.602142,14.091373
0.60264,14.09026
0.603137,14.088773
0.603635,14.090126
0.604133,14.089442
0.60463,14.089504
0.605128,14.089333
0.605626,14.092031
0.606124,14.093613
0.606621,14.095493
0.607119,14.095926
0.607617,14.095107
0.608114,14.096127
0.608612,14.098572
0.60911,14.097873
0.609607,14.096374
0.610105,14.096855
0.610603,14.097543
0.611101,14.09764
0.611598,14.09996
0.612096,14.09841
0.612594,14.099496
0.613091,14.099718
0.613589,14.098537
0.614087,14.09883
0.614585,14.100021
0.615082,14.101362
0.61558,14.102646
0.616078,14.101633
0.616575,14.101037
0.617073,14.102088
0.617571,14.103877
0.618068,14.103778
0.618566,14.102055
0.619064,14.101463
0.619562,14.101748
0.620059,14.102749
0.620557,14.103481
0.621055,14.101984
0.621552,14.102627
0.62205,14.104757
0.622548,14.105186
0.623046,14.104957
0.623543,14.105118
0.624041,14.102234
0.624539,14.103045
0.625036,14.102605
0.625534,14.102429
0.626032,14.101401
0.626529,14.10083
0.627027,14.099644
0.627525,14.0987
0.628023,14.10001
0.62852,14.100028
0.629018,14.101665
0.629516,14.101794
0.630013,14.100578
0.630511,14.099705
0.631009,14.100332
0.631507,14.101878
0.632004,14.10117
0.632502,14.100074
0.633,14.09961
0.633497,14.100594
0.633995,14.099806
0.634493,14.099225
0.63499,14.099611
0.635488,14.099019
0.635986,14.098859
0.636484,14.099524
0.636981,14.099578
0.637479,14.099227
0.637977,14.098994
0.638474,14.101072
0.638972,14.099437
0.63947,14.099592
0.639968,14.099617
0.640465,14.099635
0.640963,14.099617
0.641461,14.097813
0.641958,14.096035
0.642456,14.097691
0.642954,14.097507
0.643451,14.098334
0.643949,14.095607
0.644447,14.094543
0.644945,14.094652
0.645442,14.093317
0.64594,14.092965
0.646438,14.09432
0.646935,14.09551
0.647433,14.095377
0.647931,14.095773
0.648429,14.095492
0.648926,14.095012
0.649424,14.096415
0.649922,14.097577
0.650419,14.097947
0.650917,14.097511
0.651415,14.099352
0.651912,14.098985
0.65241,14.100451
0.652908,14.099903
0.653406,14.099546
0.653903,14.09972
0.654401,14.100326
0.654899,14.101297
0.655396,14.099959
0.655894,14.098972
0.656392,14.098767
0.65689,14.100923
0.657387,14.101304
0.657885,14.100718
0.658383,14.100512
0.65888,14.09964
0.659378,14.098588
0.659876,14.098709
0.660374,14.100136
0.660871,14.10035
0.661369,14.099627
0.661867,14.099145
0.662364,14.096838
0.662862,14.095722
0.66336,14.095016
0.663857,14.093904
0.664355,14.091661
0.664853,14.090996
0.665351,14.090632
0.665848,14.09071
0.666346,14.090837
0.666844,14.091747
0.667341,14.090641
0.667839,14.091355
0.668337,14.09175
0.668835,14.091136
0.669332,14.089602
0.66983,14.090084
0.670328,14.091573
0.670825,14.092564
0.671323,14.093607
0.671821,14.093719
0.672318,14.092257
0.672816,14.091819
0.673314,14.092259
0.673812,14.092794
0.674309,14.094331
0.674807,14.09488
0.675305,14.094537
0.675802,14.095192
0.6763,14.096464
0.676798,14.098289
0.677296,14.097484
0.677793,14.096178
0.678291,14.09601
0.678789,14.095798
0.679286,14.095253
0.679784,14.095438
0.680282,14.093704
0.680779,14.093187
0.681277,14.093345
0.681775,14.093522
0.682273,14.093066
0.68277,14.091704
0.683268,14.09094
0.683766,14.090185
0.684263,14.090322
0.684761,14.090423
0.685259,14.088516
0.685757,14.087775
0.686254,14.087143
0.686752,14.085395
0.68725,14.085551
0.687747,14.085883
0.688245,14.085512
0.688743,14.085694
