gene;model
A0A1D6Q5J0;F1
A0A1D6Q5R6;F1
A0A1D6Q6A0;F1
A0A1D6Q7K9;F1
A0A1D6Q7M3;F1
A0A1D6Q894;F1
A0A1D6Q9I2;F1
A0A1D6Q9L0;F1
A0A1D6QE75;F1
A0A1D6QER8;F1
A0A1D6QGM1;F1
A0A1D6QHF8;F1
A0A1D6QKC3;F1
A0A1D6QKM8;F1
A0A1D6QM79;F1
A0A1D6QMF9;F1
A0A1D6QML5;F1
A0A1D6QN83;F1
A0A1D6QNF2;F1
A0A1D6QPS5;F1
A0A1D6QQ11;F1
A0A1D6QR35;F1
A0A1D6QRM7;F1
A0A1D6QTC9;F1
A0A1D6QUQ7;F1
A0A1D8PCF7;F1
A0A1D8PD43;F1
A0A1D8PD64;F1
A0A1D8PDF7;F1
A0A1D8PDN8;F1
A0A1D8PDR3;F1
A0A1D8PDY7;F1
A0A1D8PF34;F1
A0A1D8PF42;F1
A0A1D8PF50;F1
A0A1D8PF68;F1
A0A1D8PFH4;F1
A0A1D8PFH9;F1
A0A1D8PFJ9;F1
A0A1D8PFM7;F1
A0A1D8PFN3;F1
A0A1D8PGF8;F1
A0A1D8PGI2;F1
A0A1D8PGR1;F1
A0A1D8PGR5;F1
A0A1D8PGT0;F1
A0A1D8PH44;F1
A0A1D8PHA0;F1
A0A1D8PI53;F1
A0A1D8PI94;F1
A0A1D8PIN2;F1
A0A1D8PJ31;F1
A0A1D8PJ33;F1
A0A1D8PJA8;F1
A0A1D8PJH5;F1
A0A1D8PKD4;F1
A0A1D8PKE5;F1
A0A1D8PL16;F1
A0A1D8PL86;F1
A0A1D8PLA0;F1
A0A1D8PLA2;F1
A0A1D8PLL1;F1
A0A1D8PLS7;F1
A0A1D8PLX4;F1
A0A1D8PM19;F1
A0A1D8PM39;F1
A0A1D8PM87;F1
A0A1D8PMA5;F1
A0A1D8PMY6;F1
A0A1D8PNM2;F1
A0A1D8PNT1;F1
A0A1D8PNY8;F1
A0A1D8PPB3;F1
A0A1D8PQ50;F1
A0A1D8PQ86;F1
