gene pdb chain
P0AC81 AF A
P0AC84 AF A
P0AC86 AF A
P0AC88 AF A
P0AC92 AF A
P0AC94 AF A
P0AC96 AF A
P0AC98 AF A
P0ACA1 AF A
P0ACA3 AF A
P0ACA7 AF A
P0ACB0 AF A
P0ACB2 AF A
P0ACB4 AF A
P0ACB7 AF A
P0ACC1 AF A
P0ACC3 AF A
P0ACC7 AF A
P0ACC9 AF A
P0ACD2 AF A
P0ACD4 AF A
P0ACD8 AF A
P0ACE0 AF A
P0ACE3 AF A
P0ACE7 AF A
P0ACF0 AF A
P0ACF4 AF A
P0ACF8 AF A
P0ACG1 AF A
P0ACG4 AF A
P0ACG6 AF A
P0ACG8 AF A
P0ACH1 AF A
P0ACH5 AF A
P0ACH8 AF A
P0ACI0 AF A
P0ACI3 AF A
P0ACI6 AF A
P0ACJ0 AF A
P0ACJ5 AF A
P0ACJ8 AF A
P0ACK2 AF A
P0ACK5 AF A
P0ACK8 AF A
P0ACL0 AF A
P0ACL2 AF A
P0ACL5 AF A
P0ACL7 AF A
P0ACL9 AF A
P0ACM2 AF A
P0ACM5 AF A
P0ACM9 AF A
P0ACN2 AF A
P0ACN4 AF A
P0ACN7 AF A
P0ACP1 AF A
P0ACP5 AF A
P0ACP7 AF A
P0ACQ0 AF A
P0ACQ4 AF A
P0ACQ7 AF A
P0ACR0 AF A
P0ACR2 AF A
P0ACR4 AF A
P0ACR7 AF A
P0ACR9 AF A
P0ACS2 AF A
P0ACS5 AF A
P0ACS7 AF A
P0ACS9 AF A
P0ACT2 AF A
P0ACT6 AF A
P0ACU0 AF A
P0ACU2 AF A
P0ACU5 AF A
P0ACU7 AF A
P0ACV0 AF A
P0ACV2 AF A
P0ACV4 AF A
P0ACV6 AF A
P0ACV8 AF A
P0ACW0 AF A
P0ACW2 AF A
P0ACW4 AF A
P0ACW6 AF A
P0ACW8 AF A
P0ACX0 AF A
P0ACX3 AF A
P0ACX5 AF A
P0ACX9 AF A
P0ACY1 AF A
P0ACY3 AF A
P0ACY6 AF A
P0ACY9 AF A
P0ACZ2 AF A
P0ACZ4 AF A
P0ACZ8 AF A
P0AD01 AF A
P0AD03 AF A
P0AD05 AF A
P0AD07 AF A
P0AD10 AF A
P0AD12 AF A
P0AD14 AF A
P0AD17 AF A
P0AD19 AF A
P0AD21 AF A
P0AD24 AF A
P0AD27 AF A
P0AD30 AF A
P0AD33 AF A
P0AD35 AF A
P0AD37 AF A
P0AD40 AF A
P0AD42 AF A
P0AD44 AF A
P0AD47 AF A
P0AD49 AF A
P0AD53 AF A
P0AD57 AF A
P0AD59 AF A
P0AD61 AF A
P0AD65 AF A
P0AD68 AF A
P0AD70 AF A
P0AD79 AF A
P0AD86 AF A
P0AD89 AF A
P0AD96 AF A
P0AD99 AF A
P0ADA1 AF A
P0ADA5 AF A
P0ADA7 AF A
P0ADB1 AF A
P0ADB4 AF A
P0ADB7 AF A
P0ADC1 AF A
P0ADC3 AF A
P0ADC6 AF A
P0ADC8 AF A
P0ADD2 AF A
P0ADD5 AF A
P0ADD7 AF A
P0ADD9 AF A
P0ADE2 AF A
P0ADE4 AF A
P0ADE6 AF A
P0ADE8 AF A
P0ADF0 AF A
P0ADF6 AF A
P0ADF8 AF A
P0ADG1 AF A
P0ADG4 AF A
P0ADG7 AF A
P0ADH5 AF A
P0ADH7 AF A
P0ADI0 AF A
P0ADI4 AF A
P0ADI7 AF A
P0ADI9 AF A
P0ADJ5 AF A
P0ADJ8 AF A
P0ADK0 AF A
P0ADK4 AF A
P0ADK6 AF A
P0ADK8 AF A
P0ADL1 AF A
P0ADL3 AF A
P0ADL6 AF A
P0ADM0 AF A
P0ADM6 AF A
P0ADM8 AF A
P0ADN0 AF A
P0ADN2 AF A
P0ADN6 AF A
P0ADP0 AF A
P0ADP2 AF A
P0ADP5 AF A
P0ADP7 AF A
P0ADP9 AF A
P0ADQ2 AF A
P0ADQ5 AF A
P0ADR0 AF A
P0ADR2 AF A
P0ADR6 AF A
P0ADR8 AF A
P0ADS2 AF A
P0ADS6 AF A
P0ADS9 AF A
P0ADT2 AF A
P0ADT5 AF A
P0ADT8 AF A
P0ADU2 AF A
P0ADU5 AF A
P0ADU7 AF A
P0ADV1 AF A
P0ADV5 AF A
P0ADV7 AF A
P0ADV9 AF A
P0ADW3 AF A
P0ADW6 AF A
P0ADW8 AF A
P0ADX1 AF A
P0ADX5 AF A
P0ADX9 AF A
P0ADY1 AF A
P0ADY3 AF A
P0ADY7 AF A
P0ADZ0 AF A
P0ADZ4 AF A
P0ADZ7 AF A
P0AE01 AF A
P0AE06 AF A
P0AE08 AF A
P0AE12 AF A
P0AE14 AF A
P0AE16 AF A
P0AE18 AF A
P0AE22 AF A
P0AE24 AF A
P0AE26 AF A
P0AE28 AF A
P0AE30 AF A
P0AE34 AF A
P0AE37 AF A
P0AE39 AF A
P0AE42 AF A
P0AE45 AF A
P0AE48 AF A
P0AE52 AF A
P0AE56 AF A
P0AE58 AF A
P0AE60 AF A
P0AE63 AF A
P0AE67 AF A
P0AE70 AF A
P0AE72 AF A
P0AE74 AF A
P0AE76 AF A
P0AE78 AF A
P0AE82 AF A
P0AE85 AF A
P0AE88 AF A
P0AE91 AF A
P0AE95 AF A
P0AE98 AF A
P0AEA2 AF A
P0AEA5 AF A
P0AEA8 AF A
P0AEB0 AF A
P0AEB2 AF A
P0AEB5 AF A
P0AEB7 AF A
P0AEC0 AF A
P0AEC3 AF A
P0AEC5 AF A
P0AEC8 AF A
P0AED0 AF A
P0AED5 AF A
P0AED7 AF A
P0AED9 AF A
P0AEE1 AF A
P0AEE3 AF A
P0AEE5 AF A
P0AEE8 AF A
P0AEF0 AF A
P0AEF4 AF A
P0AEF8 AF A
P0AEG1 AF A
P0AEG4 AF A
P0AEG6 AF A
P0AEG8 AF A
P0AEH1 AF A
P0AEH3 AF A
P0AEH8 AF A
P0AEI1 AF A
P0AEI4 AF A
P0AEI6 AF A
P0AEJ0 AF A
P0AEJ2 AF A
P0AEJ4 AF A
P0AEJ6 AF A
P0AEJ8 AF A
P0AEK0 AF A
P0AEK2 AF A
P0AEK4 AF A
P0AEK7 AF A
P0AEL0 AF A
P0AEL3 AF A
P0AEL6 AF A
P0AEL8 AF A
P0AEM0 AF A
P0AEM4 AF A
P0AEM6 AF A
P0AEM9 AF A
P0AEN1 AF A
P0AEN4 AF A
P0AEN8 AF A
P0AEP1 AF A
P0AEP3 AF A
P0AEP7 AF A
P0AEP9 AF A
P0AEQ1 AF A
P0AEQ3 AF A
P0AEQ6 AF A
P0AER0 AF A
P0AER3 AF A
P0AER5 AF A
P0AER8 AF A
P0AES0 AF A
P0AES2 AF A
P0AES4 AF A
P0AES6 AF A
P0AES9 AF A
P0AET2 AF A
P0AET5 AF A
P0AET8 AF A
P0AEU0 AF A
P0AEU3 AF A
P0AEU7 AF A
P0AEV1 AF A
P0AEV4 AF A
P0AEV7 AF A
P0AEV9 AF A
P0AEW1 AF A
P0AEW4 AF A
P0AEW6 AF A
P0AEW9 AF A
P0AEX3 AF A
P0AEX5 AF A
P0AEX7 AF A
P0AEX9 AF A
P0AEY1 AF A
P0AEY3 AF A
P0AEY5 AF A
P0AEY8 AF A
P0AEZ1 AF A
P0AEZ3 AF A
P0AEZ7 AF A
P0AEZ9 AF A
P0AF01 AF A
P0AF03 AF A
P0AF06 AF A
P0AF08 AF A
P0AF10 AF A
P0AF12 AF A
P0AF16 AF A
P0AF18 AF A
P0AF20 AF A
P0AF24 AF A
P0AF26 AF A
P0AF28 AF A
P0AF32 AF A
P0AF34 AF A
P0AF36 AF A
P0AF40 AF A
P0AF43 AF A
P0AF48 AF A
P0AF50 AF A
P0AF52 AF A
P0AF54 AF A
P0AF56 AF A
P0AF59 AF A
P0AF61 AF A
P0AF63 AF A
P0AF67 AF A
P0AF73 AF A
P0AF76 AF A
P0AF78 AF A
P0AF80 AF A
P0AF82 AF A
P0AF86 AF A
P0AF90 AF A
P0AF93 AF A
P0AF96 AF A
P0AF98 AF A
