motif,D_type,Ess_n,NonEss_n,Ess_hits,NonEss_hits,Ess_mean,Ess_lower_ci,Ess_upper_ci,NonEss_mean,NonEss_lower_ci,NonEss_upper_ci,ratio,proportion,abs_diff,p_value,OnlyEnt,buff,spa,q_value
Bukau4LF,D_Loop,105,243,8,16,0.000305144097854,0.0001304865002981,0.0006317035259425,0.0002134534785833,0.0001261819614574,0.0003482644483676,1.4295578590668854,0.5884024756734677,9.169061927064548e-05,0.4382,False,C,30,0.9901224489795918
Bukau4,D_All,81,183,2,1,0.0001653146648723,0.0,0.000626681298486,2.185792349726776e-05,0.0,0.0001123887011163,7.563145917912196,0.8832204881726676,0.0001434567413751,0.0976,True,C,30,0.9901224489795918
Bukau4,D_Thread,81,183,0,1,0.0,,,2.185792349726776e-05,0.0,0.0001092896174863,0.0,0.0,2.185792349726776e-05,1.0,True,C,30,1.0
Bukau4,D_Loop,81,183,1,1,5.796093433026141e-05,0.0,0.0003477656059815,2.185792349726776e-05,0.0,0.0001092896174863,2.65171274560946,0.726155897338222,3.610301083299365e-05,0.7829,True,C,30,1.0
Bukau4RF,D_All,81,183,7,12,0.0003123444162663,0.0001165614513428,0.0007529021039803,0.0002833139142395,0.0001464791730534,0.0005484066284082,1.1024676183121245,0.5243684177153667,2.903050202681355e-05,0.87,True,C,30,1.0
Bukau4RF,D_Thread,81,183,2,6,0.0001042925019533,0.0,0.0003580997733044,0.0001021576977542,3.9018419474054136e-05,0.0002390890223073,1.0208971447672592,0.5051702643109197,2.1348041990606878e-06,0.9712,True,C,30,1.0
Bukau4RF,D_Loop,81,183,3,7,0.0001313866095511,1.435544071202986e-05,0.0004242410558869,0.0001302330867056,5.284920762094872e-05,0.0002772990009854,1.0088573716146765,0.5022045795136658,1.1535228454782778e-06,0.9861,True,C,30,1.0
Bukau4LF,D_All,81,183,16,31,0.0008455075807718,0.0004612525050076,0.0015262471058723,0.0006049684497983,0.0004148401945289,0.000871415407709,1.397606075248527,0.582917306423515,0.0002405391309735,0.3229,True,C,30,0.9901224489795918
Bukau4LF,D_Thread,81,183,5,13,0.0001970133085041,6.327367668808613e-05,0.000511699018936,0.000204648917576,0.0001132945331483,0.0003423617805325,0.962689228155606,0.4904949873599052,7.635609071883346e-06,0.9409,True,C,30,1.0
Bukau4LF,D_Loop,81,183,8,16,0.0003955571638848,0.0001640392869902,0.0008065369078526,0.0002834382256598,0.0001660756783244,0.0004548933129194,1.395567457296662,0.582562370784384,0.0001121189382249,0.457,True,C,30,0.9901224489795918
Bukau5,D_All,105,243,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,30,1.0
Bukau5,D_Thread,105,243,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,30,1.0
Bukau5,D_Loop,105,243,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,30,1.0
Bukau5RF,D_All,105,243,0,4,0.0,,,8.786562203854806e-05,2.0889473794155123e-05,0.0002528860451959,0.0,0.0,8.786562203854806e-05,0.3582,False,C,30,0.9901224489795918
Bukau5RF,D_Thread,105,243,0,1,0.0,,,1.659365458648613e-05,0.0,9.956192751891676e-05,0.0,0.0,1.659365458648613e-05,1.0,False,C,30,1.0
Bukau5RF,D_Loop,105,243,0,0,0.0,,,0.0,,,,,0.0,1.0,False,C,30,1.0
Bukau5LF,D_All,105,243,2,5,3.896755065781585e-05,0.0,0.0001343470338379,7.015554237655553e-05,2.0783971401255357e-05,0.0001679418328173,0.5554450772921109,0.3570971970666367,3.118799171873968e-05,0.5882,False,C,30,0.9901224489795918
Bukau5LF,D_Thread,105,243,0,2,0.0,,,2.137280434269012e-05,0.0,7.373342783519316e-05,0.0,0.0,2.137280434269012e-05,0.5743,False,C,30,0.9901224489795918
Bukau5LF,D_Loop,105,243,1,4,1.6505735743170752e-05,0.0,9.90344144590245e-05,4.9371570975300174e-05,1.6428049251291653e-05,0.0001343304110512,0.3343165999604978,0.2505526799040011,3.286583523212942e-05,0.4588,False,C,30,0.9901224489795918
Bukau5,D_All,81,183,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5,D_Thread,81,183,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5,D_Loop,81,183,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5RF,D_All,81,183,0,2,0.0,,,3.536219920633897e-05,0.0,0.0001368269896342,0.0,0.0,3.536219920633897e-05,0.7948,True,C,30,1.0
Bukau5RF,D_Thread,81,183,0,1,0.0,,,2.203419707385863e-05,0.0,0.0001101709853692,0.0,0.0,2.203419707385863e-05,1.0,True,C,30,1.0
Bukau5RF,D_Loop,81,183,0,0,0.0,,,0.0,,,,,0.0,1.0,True,C,30,1.0
Bukau5LF,D_All,81,183,2,4,5.0513491593464994e-05,0.0,0.0001729367988919,6.555897129507072e-05,2.1814294907452853e-05,0.0001836610279201,0.7705046402590979,0.4351892803547475,1.5045479701605731e-05,0.7939,True,C,30,1.0
Bukau5LF,D_Thread,81,183,0,2,0.0,,,2.8380281176359007e-05,0.0,9.441561447078783e-05,0.0,0.0,2.8380281176359007e-05,0.5745,True,C,30,0.9901224489795918
Bukau5LF,D_Loop,81,183,1,4,2.139632411151764e-05,0.0,0.0001080381395844,6.555897129507072e-05,2.1814294907452853e-05,0.0001833581626857,0.3263675998699875,0.2460611974402711,4.416264718355309e-05,0.4452,True,C,30,0.9901224489795918
Schymkowitz,D_All,105,243,4,6,0.0001108293464713,1.6072986206327778e-05,0.000355411908351,6.460028228167274e-05,2.5408077403532705e-05,0.000150329541323,1.715617061673668,0.6317595679769048,4.622906418970015e-05,0.4972,False,C,30,0.9901224489795918
Schymkowitz,D_Thread,105,243,1,1,3.840245775729647e-05,0.0,0.0002304147465437,9.6150148071228e-06,0.0,5.769008884273681e-05,3.994009216589862,0.7997600812032851,2.8787442950173665e-05,0.3069,False,C,30,0.9901224489795918
Schymkowitz,D_Loop,105,243,1,3,3.840245775729647e-05,0.0,0.0001920122887864,2.4985954802244388e-05,7.156915369475757e-06,7.159608538290434e-05,1.5369617875818349,0.6058277247631807,1.341650295505208e-05,0.8539,False,C,30,1.0
Schymkowitz,D_All,81,183,4,5,0.0001436676713517,2.083535248968416e-05,0.0004358730917623,5.818231444776735e-05,2.1179686183249976e-05,0.0001271625918194,2.4692670395701777,0.711754676537124,8.548535690401231e-05,0.238,True,C,30,0.9901224489795918
Schymkowitz,D_Thread,81,183,1,1,4.978096375945838e-05,0.0,0.0002489048187972,1.2767478678310609e-05,0.0,7.477678950605467e-05,3.8990442054958185,0.7958785513961713,3.7013485081147775e-05,0.3094,True,C,30,0.9901224489795918
Schymkowitz,D_Loop,81,183,1,3,4.978096375945838e-05,0.0,0.0002986857825567,3.31780711308491e-05,9.50344499881207e-06,9.189109961831942e-05,1.500417657287251,0.6000668140038179,1.660289262860928e-05,0.8488,True,C,30,1.0
Emperical4,D_All,105,243,13,26,0.0005662987912896,0.0002805903371491,0.0010492574052239,0.0003003573359223,0.0001960953730672,0.000437858980995,1.8854168803658096,0.6534296285557111,0.0002659414553673,0.0784,False,C,30,0.9901224489795918
Emperical4,D_Thread,105,243,1,6,6.76887670491082e-06,0.0,4.061326022946492e-05,6.534643733886924e-05,2.511724357723856e-05,0.0001467025091092,0.1035844795915839,0.0938618488273037,5.8577560633958425e-05,0.2181,False,C,30,0.9901224489795918
